자연어 쿼리,tagging된 자연어 쿼리,활용 여부,DB Query,,,,
where is rihanna from ethnically?,where is <PERSON> from ethnically?,O,match (m)-[:PLACE_OF_BIRTH]-(n) where m.name = <PERSON> return n.name,what country was PERSON born in?,89.69577551,,
where was the assyrian civilization located?,where was the <MISC> civilization located?,X,match (o)-[r:LOCATED_IN_THE_ADMINISTRATIVE_ENTITY]-(location) where o.name=<LOCATION> return location.name,where is the MISC empire located?,84.01222229,,
what did baron de montesquieu die from?,what did <PERSON> die from?,X,관련없는 내용,what did PERSON die from?,99.99998808,5,
who are the current senators from illinois?,who are the <DATE> senators from <LOCATION>?,X,nan,who are the DATE senators from LOCATION?,99.99998808,5,
what do do in nashville tn?,what do do in <LOCATION> tn?,X,관련없는 내용,what do do in LOCATION?,80.71243763,,
what inventions did robert hooke made?,what inventions did <PERSON> made?,X,nan,what inventions did PERSON made?,100.0000358,5,
who plays patrick jane wife?,who plays <PERSON> wife?,X,관련없는 내용,who plays PERSON?,84.48245525,,
what team does derrick rose play for?,what team does <PERSON> play for?,X,nan,what team does PERSON play for?,100.0000238,5,
what countries do new zealand export to?,what countries do <LOCATION> export to?,X,no use,which countries does LOCATION export to?,98.75100255,,
what type of government does the former soviet union have?,what type of government does the former <LOCATION> have?,X,nan,what type of government does LOCATION have?,95.17344236,,
what illness did huell howser died of?,what illness did <PERSON> died of?,X,관련없는 내용,what did PERSON died from?,92.97947288,,
what car models does gm make?,what car models does <ORGANIZATION> make?,X,nan,what car companies does ORGANIZATION company own?,88.76119852,,
which legend of zelda game is the first?,which legend of <PERSON> game is the <ORDINAL>?,X,nan,what is the name of the ORDINAL PERSON novel?,63.73575926,,
what nationality is zack de la rocha?,what nationality is <PERSON>?,X,관련없는 내용,what nationality is PERSON?,99.99998808,5,
what did mozart die from?,what did <PERSON> die from?,X,관련없는 내용,what did PERSON die from?,99.99998808,5,
what years have the steelers won the super bowl?,what <DURATION> have the <ORGANIZATION> won the super bowl?,X,관련 없는 내용,what DURATION have the ORGANIZATION won the super bowl?,100.0000477,5,
what did doc holliday die from?,what did <PERSON> die from?,X,관련없는 내용,what did PERSON die from?,99.99998808,5,
what countries does britain own?,what countries does <LOCATION> own?,X,nan,which countries share borders with LOCATION?,91.79435968,,
what government does france have?,what government does <LOCATION> have?,X,match(a)-[:BASIC_FORM_OF_GOVERNMENT]-(b) where a.name=<LOCATION> return b.name,what kind government does LOCATION have?,98.1921792,,
who played dorothy in the film wizard of oz?,who played <PERSON> in the film wizard of oz?,X,nan,who played PERSON in the MOVIE movie?,90.65210819,,
who was the owner of kfc?,who was the owner of <ORGANIZATION>?,X,관련없는 내용,who is the owner of the ORGANIZATION?,92.15537906,,
where did robin gibb die?,where did <PERSON> die?,O,match (m:Human)-[c:PLACE_OF_BIRTH]-(n) where m.name=<PERSON>  return n.name,where did PERSON die?,100.0000238,5,
what countries are on the mediterranean sea?,what countries are on the <LOCATION> sea?,X,관련없는 내용,what are countries in LOCATION?,93.03094149,,
what languages do they speak in russia?,what languages do they speak in <LOCATION>?,X,match (h)-[:OFFICIAL_LANGUAGE]-(lang) return lang.name,what language they speak in LOCATION?,98.03612232,5,
who plays jim halpert?,who plays <PERSON>?,X,관련없는 내용,who plays PERSON?,99.99998212,5,
when were the phillies founded?,when were the <ORGANIZATION> founded?,X,match (o) where o.name=<ORGANIZATION> return o.inception,when were the ORGANIZATION started?,96.64138556,,
who is john cabot's parents?,who is <PERSON>'s parents?,X,MATCH (x)-[r:CHILD]-(p) WHERE p.name = <PERSON> RETURN x.name,who are PERSON's parents?,98.5131979,,
what is the capital city of montana usa?,what is the capital city of <LOCATION>?,X,관련없는 내용,what is the capital city of LOCATION?,100,5,
who succeeded william mckinley as president?,who succeeded <PERSON> as president?,X,nan,who was vice president under PERSON?,93.52045059,,
where does jamie chung live?,where does <PERSON> live?,O,match (m:Human)-[c:PLACE_OF_BIRTH]-(n) where m.name=<PERSON>  return n.name,where does PERSON live?,99.9999702,5,
what george washington carver famous for?,what <PERSON> famous for?,X,match (m)-[:COMPOSER]-(w) where m.name=<PERSON> return w.name,what is PERSON most famous for?,94.89728212,,
what is the zip code for wildwood?,what is the zip code for <LOCATION>?,X,zip코드 없음,what is the zip code for LOCATION?,100,5,
what money currency does canada use?,what money currency does <LOCATION> use?,O,MATCH (l)-[:CURRENCY]-(x) WHERE l.name = <LOCATION> RETURN x.name,what currency does LOCATION use?,95.89955807,5,
where did bronx tale take place?,where did <LOCATION> tale take place?,X,match (m)-[:NAMED_AFTER]-(o) where m.name=<LOCATION> return o.name,where did LOCATION originate?,85.47180295,,
who voices ray in archer?,who voices <PERSON> in <PERSON>?,X,관련없는 내용,who has the voice of PERSON?,91.85906649,,
what kind of money do they use in russia?,what kind of money do they use in <LOCATION>?,X,관련없는 내용,what kind of money do they use in LOCATION?,100.0000119,5,
what does uvm stand for college?,what does <ORGANIZATION> stand for college?,X,관련없는 내용,what ORGANIZATION stands for?,81.72879815,,
who plays edward elric?,who plays <PERSON>?,X,관련없는 내용,who plays PERSON?,99.99998212,5,
what was samuel de champlain searching for?,what was <PERSON> searching for?,X,관련없는 내용,who was PERSON answers?,73.82433414,,
who plays lola bunny on the looney tunes show?,who plays <PERSON> on the looney tunes show?,X,nan,who plays PERSON in the looney tunes show?,98.91220331,5,
what to do in chicago this weekend with kids?,what to do in <LOCATION> <DATE> with kids?,X,nan,what to do with kids in LOCATION DATE?,91.04716778,,
what kind of money does germany?,what kind of money does <LOCATION>?,X,관련없는 내용,what kind of money does LOCATION use?,95.46285868,,
who did walter raleigh sail for?,who did <PERSON> sail for?,X,nan,who did ORGANIZATION sail for?,87.06032038,,
what cities are included in maricopa county?,what cities are included in <LOCATION>?,X,MATCH x=(:City)-[r]-(c) WHERE c.name = <LOCATION> RETURN x.name,what cities are in LOCATION?,96.12693787,,
where did frank baum live?,where did <PERSON> live?,O,match (m:Human)-[c:PLACE_OF_BIRTH]-(n) where m.name=<PERSON>  return n.name,where did PERSON live?,99.99998808,5,
what time is the grand prix starting?,what time is the <MISC> starting?,X,nan,what time is MISC soccer?,84.07568932,,
what are the places to see in dubai?,what are the places to see in <LOCATION>?,X,nan,what are some sights to see in LOCATION?,92.67905951,,
where is johnny depp from?,where is <PERSON> from?,O,match (m:Human)-[c:PLACE_OF_BIRTH]-(n) where m.name=<PERSON>  return n.name,where is PERSON from?,99.99996424,5,
what characters does todd haberkorn voice?,what characters does <PERSON> voice?,X,nan,what characters does PERSON voice?,100.0000238,5,
where the latin language come from?,where the <MISC> language come from?,X,nan,where the MISC language come from?,100.0000238,5,
what language do pakistani people talk?,what language do <MISC> people talk?,X,관련없는 내용,what language do MISC people speak?,97.27636576,5,
what does china border?,what does <LOCATION> border?,X,no use,what does the LOCATION border?,96.46120071,5,
when does the russian league start?,when does the <MISC> league start?,X,nan,when is MISC tennis tournament?,81.65578842,,
what was alice walker famous for?,what was <PERSON> famous for?,X,nan,what was PERSON famous for?,99.99998808,5,
where did michael jackson went to school?,where did <PERSON> went to school?,X,관련없는 내용,where did PERSON went to school?,99.99997616,5,
where do haitian people come from?,where do <MISC> people come from?,X,nan,where did MISC people originate from?,95.47559023,,
where is the time zone in kentucky?,where is the time zone in <LOCATION>?,O,match (m)-[:LOCATED_IN_TIME_ZONE]-(n) where m.name = <LOCATION> return n.name,what is the time zone in LOCATION?,97.66026735,5,
what albums did john frusciante play on?,what albums did <PERSON> play on?,O,match (p:Human)<-[:PERFORMER]-(u) where p.name=<PERSON> and u:Song return u.name,what songs did PERSON?,85.51727533,,
what influenced whitman's poetry?,what influenced <PERSON>'s poetry?,X,match (h)-[:INFLUENCED_BY]-(w) where h.name=<PERSON> return w.name,what inspired PERSON to write poetry?,91.43434763,,
what did martin luther king jr do in his life?,what did <PERSON> do in his life?,X,관련없는 내용,what did PERSON accomplish?,84.35022235,,
what kind of legal system does australia have?,what kind of legal system does <LOCATION> have?,X,nan,what type of legal system does LOCATION have?,99.19116497,5,
where did jimmy hoffa live?,where did <PERSON> live?,O,match (m:Human)-[c:PLACE_OF_BIRTH]-(n) where m.name=<PERSON>  return n.name,where did PERSON live?,99.99998808,5,
what role did frederick douglass play in the abolition movement?,what role did <PERSON> play in the abolition movement?,X,nan,what did PERSON contribute to the industrial revolution?,81.28055334,,
where people speak welsh?,where people speak <MISC>?,X,관련없는 내용,where is MISC language spoken?,79.54762578,,
what children's books did suzanne collins wrote?,what children's books did <PERSON> wrote?,X,관련 없는 내용,what books has PERSON written?,83.19756985,,
what state obama was born?,what state <PERSON> was born?,O,nan,what state was PERSON from?,88.55377436,,
what is the zip code for morgantown in?,what is the zip code for <LOCATION> in?,X,zip코드 없음,what is the zip code for LOCATION?,99.20637608,5,
who is democritus and what did he discover?,who is <MISC> and what did he discover?,X,nan,where did the MISC come from?,75.0788033,,
who plays bella on twilight?,who plays <PERSON> on <TIME>?,X,nan,who did PERSON play in TIME?,82.72288442,,
where did gettysburg start?,where did <LOCATION> start?,X,nan,where does LOCATION start?,95.50369978,5,
who does cristiano ronaldo play for in 2010?,who does <PERSON> play for in <DATE>?,X,nan,who does PERSON play for in DATE?,99.99995828,5,
where did elvis presley live before he died?,where did <PERSON> live before he died?,O,match (m:Human)-[c:PLACE_OF_DEATH]-(n) where m.name=<PERSON>  return n.name,where did PERSON live before he died?,99.99999404,5,
what is the currency of germany in 2010?,what is the currency of <LOCATION> in <DATE>?,O,nan,what is the currency in LOCATION in DATE?,97.88389206,5,
what to do in daytona?,what to do in <LOCATION>?,X,관련없는 내용,what to do in LOCATION?,100,5,
who does paul walker play in fast and furious?,who does <PERSON> play in fast and furious?,X,nan,who does PERSON play in taken?,73.43961,,
who was the vice president during george w bush?,who was the vice president during <PERSON>?,X,관련없는 내용,who was PERSON's vice president?,95.0320363,,
where did kevin hart go to school?,where did <PERSON> go to school?,O,match (m:Human)-[c:EDUCATED_AT]-(n) where m.name=<PERSON> return n.name,where did PERSON go to school?,100.0000358,5,
where gm cars are built?,where <ORGANIZATION> cars are built?,X,nan,where is ORGANIZATION cars made?,76.63729191,,
what kind of money do japanese use?,what kind of money do <MISC> use?,X,match(p:Country)->[r:CURRENCY]-(u) where p.name=<LOCATION> return u.name,what type of money do MISC use?,99.18931723,5,
where does the name melbourne come from?,where does the name <LOCATION> come from?,X,nan,where did the name LOCATION come from?,98.37424159,5,
what currency do the ukraine use?,what currency do the <LOCATION> use?,O,MATCH (l)-[:CURRENCY]-(x) WHERE l.name = <LOCATION> RETURN x.name,what currency does LOCATION use?,97.74203897,5,
what kind of money does chile use?,what kind of money does <LOCATION> use?,X,관련없는 내용,what type of money does LOCATION use?,99.99998808,5,
what currency do italy have?,what currency do <LOCATION> have?,O,match (m:Country)-[c:CURRENCY]-(n) where m.name=<LOCATION> return n.name,what currency does LOCATION have?,98.83098006,5,
what are spanish speaking countries and their capitals?,what are <MISC> speaking countries and their capitals?,X,nan,what are MISC countries?,86.87086105,,
what language does people from denmark speak?,what language does people from <LOCATION> speak?,X,match(p:Country)->[r:LANGUAGE_USED]-(u) where p.name=<LOCATION> return u.name,what language does people speak in LOCATION?,99.52418804,5,
what did susan atkins die of?,what did <PERSON> die of?,X,nan,what did PERSON die of?,99.99998808,5,
what type of currency does brazil use?,what type of currency does <LOCATION> use?,X,관련없는 내용,what kind of currency does LOCATION use?,99.43310618,5,
who plays tommy oliver in power rangers?,who plays <PERSON> in power rangers?,X,nan,who plays PERSON in the looney tunes show?,84.95072722,,
what year did dwight howard won the slam dunk contest?,what <DURATION> did <PERSON> won the slam dunk contest?,X,nan,what DURATION did PERSON won the dunk contest?,98.81365895,5,
what country did marco polo come from?,what country did <PERSON> come from?,X,match (p:Human)-[r:PLACE_OF_BIRTH]-(u)-[:COUNTRY]->(v) where p.name=<PERSON>  return v.name,what country did PERSON came from?,99.99996424,5,
what were hitler's parents names?,what were <PERSON>'s <NUMBER> names?,X,관련없는 내용,what were PERSON's NUMBER names?,100,5,
when was the first pope of the catholic church?,when was the <ORDINAL> pope of the <MISC> church?,X,nan,when did mt ORGANIZATION ORDINAL erupt?,71.74302936,,
what did amerigo vespucci explore?,what did <PERSON> explore?,X,관련없는 내용,what did PERSON discover?,80.09426594,,
what currency do i bring to cuba?,what currency do i bring to <LOCATION>?,O,match(p:Country)->[r:CURRENCY]-(u) where p.name=<LOCATION> return u.name,what currency should i bring to LOCATION?,97.51473069,5,
where did patrick henry live?,where did <PERSON>?,X,관련없는 내용,where did PERSON?,100,,
what kind of government does mongolia?,what kind of government does <LOCATION>?,X,match(a)-[:BASIC_FORM_OF_GOVERNMENT]-(b) where a.name=<LOCATION> return b.name,what type of government does LOCATION?,98.92443419,5,
what are some native american holidays?,what are some <LOCATION> holidays?,O,nan,what are the holidays of islam?,73.66913557,,
where did jesse james die?,where did <PERSON>?,X,관련없는 내용,where did PERSON?,100,5,
where is spain located what continent?,where is <LOCATION> located what continent?,X,match(p:Country)-[r:CONTINENT]-(u) where p.name=<LOCATION> return u.name,what continent is LOCATION located?,97.48551846,5,
what form of government is the philippines?,what form of government is the <LOCATION>?,X,match(a)-[:BASIC_FORM_OF_GOVERNMENT]-(b) where a.name=<LOCATION> return b.name,what form of government does LOCATION?,96.99692726,5,
who plays stewie griffin on family guy?,who plays <PERSON> on family guy?,X,관련없는 내용,who plays PERSON in family guy?,98.15267324,5,
what are the two major religions in canada?,what are the <NUMBER> major religions in <LOCATION>?,O,match (c)-[:OFFICIAL_RELIGION]-(r) where c.name=<LOCATION> return r.name,what religions are recognized in LOCATION?,94.11485195,,
what kind of government do the canadians have?,what kind of government do the <MISC> have?,X,관련없는 내용,what type of government does the LOCATION have?,80.24864197,,
what happened to sir thomas cromwell?,what happened to sir <PERSON>?,X,관련없는 내용,what happened to PERSON?,75.2687335,,
what food is from china?,what food is from <LOCATION>?,O,nan,where to eat in LOCATION?,73.92066717,,
who plays stewie griffin's voice?,who plays <PERSON>'s voice?,X,nan,who plays the voice of PERSON?,96.48395777,4,
who did butler beat last night?,who did <PERSON> beat <TIME>?,X,nan,who did PERSON play in TIME?,72.8472352,,
what are the mountains in peru called?,what are the mountains in <LOCATION> called?,X,관련없는 내용,what landforms are found in LOCATION?,85.16981006,,
which kardashians are having babies?,which <MISC> are having babies?,X,nan,what are all the names of MISC?,68.38095188,,
what is south america made up of?,what is <LOCATION> made up of?,X,MATCH (c)-[r:CAPITAL]-(x) WHERE c.name=<LOCATION> RETURN x.name,what is the capital of LOCATION?,81.99344873,,
what team does plaxico burress play for?,what team does <PERSON> play for?,X,nan,what team does PERSON play for?,100.0000238,,
where english is spoken in the world?,where <MISC> is spoken in the world?,X,match (c)-[:LANGUAGE_USED]-(lang) where lang.name=<MISC> return c.name,what countries do people speak MISC?,84.70857143,,
where is victoria beckham from?,where is <PERSON> from?,O,match (m:Human)-[c:PLACE_OF_BIRTH]-(n) where m.name=<PERSON>  return n.name,where is PERSON from?,99.99996424,5,
what office does paul ryan hold?,what office does <PERSON> hold?,X,no use,what office does PERSON hold?,100,5,
what type of government does fiji have 2010?,what type of government does <LOCATION> have <DATE>?,X,match(a)-[:BASIC_FORM_OF_GOVERNMENT]-(b) where a.name=<LOCATION> return b.name,what type of government does LOCATION have DATE?,99.99998808,5,
what country is the iberian peninsula located in?,what country is the <LOCATION> located in?,X,nan,what country is located in the LOCATION?,100,5,
who is daniel in the bible?,who is <PERSON> in the bible?,X,nan,who wrote PERSON NUMBER in the bible?,82.33270049,,
who played marty mcfly's dad?,who played <PERSON>'s dad?,X,관련없는 내용,who played PERSON?,85.9361887,,
what is george washington's legacy?,what is <PERSON>'s legacy?,X,관련 없는 내용,what is PERSON's heritage?,73.0628252,,
where to stay in bermuda tripadvisor?,where to stay in <LOCATION> tripadvisor?,X,nan,what hotel should i stay in LOCATION?,85.67976356,,
which airport is closest to barcelona port?,which airport is closest to <LOCATION> port?,X,nan,which airport is closest to the city of LOCATION?,97.18761444,,
who is jojo simmons mother?,who is <PERSON> mother?,X,MATCH (p)-[r:CHILD]-(x) WHERE p.name = <PERSON> RETURN x.name,who is PERSON's daughter?,91.63736701,,
where do cherry trees grow in the united states?,where do cherry trees grow in the <LOCATION>?,X,관련없는 내용,what is LOCATION's state flower?,75.11183023,,
who plays john connor in terminator salvation?,who plays <PERSON> in terminator salvation?,X,nan,who played PERSON friend in terminator NUMBER?,90.63369036,,
what year doug williams won the super bowl?,what <DURATION> <PERSON> won the super bowl?,X,nan,what DURATION did PERSON go to the super bowl?,88.41164112,,
what country was osama bin laden killed in?,what country was <PERSON> killed in?,X,MATCH (p)-[r:PLACE_OF_DEATH]-(x) WHERE p.name = <PERSON> RETURN x.name,what city was PERSON killed in?,83.55554938,,
where did james cook go on his voyages?,where did <PERSON> go on his voyages?,X,no data,where did PERSON travel?,81.42043948,,
who won the governor election in michigan?,who won the governor election in <LOCATION>?,X,no data,who won the governor election in LOCATION?,99.99997616,,
where did heidi klum and seal get married?,where did <PERSON> and seal get married?,O,no data,who did PERSON get engaged to?,71.99269533,,
what kind of experiments did humphrey davy do?,what kind of experiments did <PERSON> do?,X,nan,what experiments did PERSON conduct?,93.49659681,,
who created the chinese communist party?,who created the <ORGANIZATION>?,X,match (p:Service)-[:FOUNDED_BY]-(u:Human) where p.name=<ORGANIZATION> return u.name,who created ORGANIZATION?,98.20095301,,
what timezone is new england usa in?,what timezone is <LOCATION> in?,O,match (m)-[:LOCATED_IN_TIME_ZONE]-(n) where m.name = <LOCATION> return n.name,in what timezone is LOCATION?,100.0000119,,
what happened to rev. robert schuller?,what happened to rev. <PERSON>?,X,관련없는 내용,what happened to PERSON?,72.39232659,,
who plays the voice of meg in family guy?,who plays the voice of <PERSON> in family guy?,X,관련없는 내용,who plays the voice of PERSON on family guy?,99.66875315,5,
what can you visit in london?,what can you visit in <LOCATION>?,X,no use,what places can you visit in LOCATION?,93.66756678,4,
what form of government does north korea?,what form of government does <LOCATION>?,X,match(a)-[:BASIC_FORM_OF_GOVERNMENT]-(b) where a.name=<LOCATION> return b.name,what form of government does LOCATION?,100.0000119,5,
where is located cornell university?,where is located <ORGANIZATION>?,X,match (o)-[r:LOCATED_IN_THE_ADMINISTRATIVE_ENTITY]-(location) where o.name=<ORGANIZATION> return location.name,where is located ORGANIZATION?,99.99998808,5,
who speaks arabic language?,who speaks <MISC> language?,O,match (m)-[c:OFFICIAL_LANGUAGE]-(n) where m.name=<LOCATION> return n.name,what language do MISC speak?,91.42896533,,
who played the parents in ferris bueller day off?,who played the parents in <MISC> <DURATION> off?,X,관련 없는 내용,who played young PERSON?,79.32575941,,
what dialects are spoken in the uk?,what dialects are spoken in the <LOCATION>?,X,"match (c)-[:OFFICIAL_LANGUAGE]-(ol) where c.name=<LOCATION> match (c)-[:LANGUAGE_USED]-(ul) return ol.name, ul.name",what is the official language of LOCATION and NUMBER other dialects?,94.12667751,,
what should i visit in venice?,what should i visit in <LOCATION>?,X,nan,what are some places to visit in LOCATION?,95.6313014,,
where james madison was born?,where <PERSON> was born?,O,match (m:Human)-[c:PLACE_OF_BIRTH]-(n) where m.name=<PERSON>  return n.name,where was PERSON born?,100.0000596,5,
when was the last time iran invaded another country?,when was the last time <LOCATION> invaded another country?,X,관련없는 내용,what wars have LOCATION been involved in?,81.81197643,,
what did the ottoman empire look like?,what did the <MISC> empire look like?,X,nan,where was the MISC empire centered?,82.31247067,,
what team does kareem abdul jabbar play for?,what team does <PERSON> play for?,X,nan,what team does PERSON play for?,100.0000238,5,
who is jeff probst ex wife?,who is <PERSON> ex wife?,X,match(p:Human)-[r:SPOUSE]-(u:Human) where p.name=<PERSON> return u.name,who is PERSON wife?,88.47972751,,
where is tsonga born?,where is <PERSON> born?,O,match (m:Human)-[c:PLACE_OF_BIRTH]-(n) where m.name=<PERSON>  return n.name,where was PERSON born?,97.74986506,,
what island is bethany hamilton from?,what island is <PERSON> from?,X,not applicable,what colony is PERSON from?,84.87067223,,
what is paige halliwell's powers?,what is <PERSON>'s powers?,X,match(p:Human)-[r:COMPOSER]-(u) where p.name=<PERSON> return u.name,what is the work of PERSON?,66.59029126,,
what did jean jacques rousseau write?,what did <PERSON> write?,X,관련없는 내용,what did PERSON write?,100,,
what city is the state capital of washington?,what city is the state capital of <LOCATION>?,X,관련없는 내용,what is the capital city of LOCATION?,94.40490603,,
what does shawn johnson do?,what does <PERSON> do?,X,관련없는 내용,what does PERSON do?,99.99995232,,
what was the reagan administration known for?,what was the <PERSON> administration known for?,X,MATCH (p)-[r:OCCUPATION]-(x) WHERE p.name = <PERSON> RETURN x.name,what was PERSON occupation?,80.71936369,,
where did nadia boulanger live?,where did <PERSON> live?,O,match (m:Human)-[c:PLACE_OF_BIRTH]-(n) where m.name=<PERSON>  return n.name,where did PERSON live?,99.99998808,5,
what year did michael jordan get drafted?,what <DURATION> did <PERSON> get drafted?,X,nan,what DURATION did PERSON get drafted?,99.99998212,5,
what airport do you fly into maui?,what airport do you fly into <LOCATION>?,X,nan,what airport do you fly into for LOCATION?,99.50560331,5,
who does mark sanchez play for?,who does <PERSON> play for?,X,관련없는 내용,who does PERSON play for?,100.0000238,5,
what sea does the yangtze river empty into?,what sea does the <LOCATION> empty into?,X,nan,what sea does the LOCATION flow into?,95.7254529,,
what are the main imports and exports of afghanistan?,what are the main imports and exports of <LOCATION>?,X,nan,what are major exports of the LOCATION?,92.36328602,,
what movies have gerard butler been in?,what movies have <PERSON> been in?,X,nan,what films have PERSON been in?,99.99999404,5,
what country is beside france?,what country is beside <LOCATION>?,X,관련없는 내용,what country is LOCATION next to?,98.01733494,,
what type of government germany have?,what type of government <LOCATION> have?,X,nan,what type of government does LOCATION have?,96.92320824,,
what is there to do in montpelier vt?,what is there to do in <LOCATION> vt?,X,nan,what is there to do in mt LOCATION?,86.94633245,,
who is the leader of japan right now?,who is the leader of <LOCATION> <DATE>?,X,nan,who is the leader of LOCATION DATE?,99.99998808,5,
when did michael jordan started playing basketball in the nba?,when did <PERSON> started playing basketball in the nba?,X,nan,what year did PERSON come into the nba?,90.86858034,,
what movies were michael clarke duncan?,what movies were <PERSON>?,X,match (h)-[:PRESENT_IN_WORK]-(b) where h.name=<PERSON> return b.name,what movies has PERSON?,90.71552753,,
in which city was president kennedy killed?,in which city was president <PERSON> killed?,X,MATCH (p)-[r:PLACE_OF_DEATH]-(x) WHERE p.name = <PERSON> RETURN x.name,what city was PERSON killed in?,85.85028052,,
where is martin cooper from?,where is <PERSON> from?,O,match (m:Human)-[c:PLACE_OF_BIRTH]-(n) where m.name=<PERSON>  return n.name,where is PERSON from?,99.99996424,5,
what is charlie sheen's dad's name?,what is <PERSON>'s dad's name?,O,match (person)-[:CHILD]-(c) where person.name=<PERSON> return c.name,what is PERSON's son's name?,94.55348849,,
how much mlb teams are there?,how much <ORGANIZATION> teams are there?,X,nan,how many teams are there in the ORGANIZATION football?,87.86346912,,
what office does boehner hold?,what office does <PERSON> hold?,X,no use,what office does PERSON hold?,100,,
where do the baltimore ravens play?,where do the <ORGANIZATION> play?,X,관련없는 내용,where do the ORGANIZATION play?,99.99996424,5,
what sport do the harlem globetrotters play?,what sport do the <ORGANIZATION> play?,X,nan,what sport do the ORGANIZATION play?,99.99998808,5,
who was betty white married too?,who was <PERSON> married too?,X,관련없는 내용,who was PERSON married too?,99.99998212,5,
where is poe buried now?,where is <PERSON> buried <DATE>?,O,match (m:Human)-[c:PLACE_OF_DEATH]-(n) where m.name=<PERSON>  return n.name,where is PERSON buried?,91.92688465,,
where is danish located?,where is <MISC> located?,X,match (p:HistorycalNationality)-[r:LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(u) where p.name=<MISC> return u.name,where is MISC located?,99.99998808,5,
what is the best neighborhood to live in dallas?,what is the best neighborhood to live in <LOCATION>?,X,nan,what is the best neighborhood to live in in LOCATION?,99.94430542,5,
who plays mary jane in spiderman 2?,who plays <PERSON> in spiderman <NUMBER>?,X,no use,who plays PERSON in spiderman NUMBER?,100.0000119,5,
what languages do scottish people speak?,what languages do <MISC> people speak?,X,관련없는 내용,what language do MISC people speak?,98.8592267,5,
what type of money does brazil have?,what type of money does <LOCATION> have?,X,관련없는 내용,what type of money does LOCATION use?,95.08986473,,
who started mary kay?,who started <PERSON>?,O,nan,who did PERSON?,81.52114153,,
what types of government does france have?,what types of government does <LOCATION> have?,X,match(a)-[:BASIC_FORM_OF_GOVERNMENT]-(b) where a.name=<LOCATION> return b.name,what types of government does LOCATION have?,100.0000119,5,
where is mount st helens?,where is <LOCATION>?,X,관련없는 내용,where is LOCATION?,100.0000238,5,
who are the players on the toronto maple leafs?,who are the players on the <ORGANIZATION>?,X,match (h:Human)-[:MEMBER_OF]-(b) where h.name=<PERSON> return b.name,who are the ORGANIZATION players?,97.68184423,5,
what present day countries use english as their national language?,what <DATE> <DURATION> countries use <MISC> as their national language?,X,match (h)-[:OFFICIAL_LANGUAGE]-(lang) where h.name=<LOCATION> return lang.name,what is the official language of LOCATION DATE?,80.17469645,,
in which continent is russia?,in which continent is <LOCATION>?,X,관련없는 내용,which continent is LOCATION located?,97.97241092,5,
what to do in ottawa ontario today?,what to do in <LOCATION> <DATE>?,X,nan,what to do in LOCATION DATE?,100,5,
where did paul ryan live?,where did <PERSON> live?,O,match (m:Human)-[c:PLACE_OF_BIRTH]-(n) where m.name=<PERSON>  return n.name,where did PERSON live?,99.99998808,5,
who is galileo galilei and what is he famous for?,who is <ORGANIZATION> and what is he famous for?,X,MATCH (o)-[r:FOUNDED_BY]-(x) WHERE o.name = <ORGANIZATION> RETURN x.name,who is ORGANIZATION's founder?,81.7707181,,
what is the australian open called?,what is the <MISC> called?,X,nan,what is MISC a?,85.4075253,,
what is the money currency in guatemala?,what is the money currency in <LOCATION>?,O,MATCH (l)-[:CURRENCY]-(x) WHERE l.name = <LOCATION> RETURN x.name,what is the money currency in LOCATION?,99.99998808,5,
where is angola located?,where is <LOCATION> located?,O,match (o)-[r:LOCATED_IN_THE_ADMINISTRATIVE_ENTITY]-(location) where o.name=<LOCATION> return location.name,where LOCATION is located?,100.0000238,5,
what is tibetan language?,what is <MISC> language?,X,match(p:Country)->[r:LANGUAGE_USED]-(u) where p.name=<MISC> return u.name,what language do MISC?,89.4906044,,
what is the national flag of russia?,what is the national flag of <LOCATION>?,X,nan,what is the state flag of LOCATION called?,92.00177193,,
when did maria sharapova start playing tennis?,when did <PERSON> start playing tennis?,X,nan,when did PERSON won the gold medal?,67.3553586,,
what sort of government does canada have?,what sort of government does <LOCATION> have?,X,nan,what kind of government does LOCATION have?,100.0000238,5,
what country does mexico trade with?,what country does <LOCATION> trade with?,X,nan,what country does LOCATION trade with?,99.99998808,5,
what form of government does australia?,what form of government does <LOCATION>?,X,match(a)-[:BASIC_FORM_OF_GOVERNMENT]-(b) where a.name=<LOCATION> return b.name,what form of government does LOCATION?,100.0000119,5,
what are the official languages of jamaica?,what are the official languages of <LOCATION>?,O,nan,what are the NUMBER official languages of LOCATION?,96.93462849,,
where did harriet tubman live after the civil war?,where did <PERSON> live after the civil war?,X,no use,where did PERSON surrender to grant to end the civil war?,87.23086119,,
who was the voice of simba?,who was the voice of <PERSON>?,X,nan,who was the voice of PERSON?,99.99996424,5,
which country did james cook sailed for?,which country did <PERSON> sailed for?,X,nan,what country did PERSON sail for?,93.16697121,,
what is the capital of oregon?,what is the capital of <LOCATION>?,X,MATCH (c)-[r:CAPITAL]-(x) WHERE c.name=<LOCATION> RETURN x.name,what is the capital of LOCATION?,100.0000238,,
what do spain call their money?,what do <LOCATION> call their money?,O,match (loc)-[:CURRENCY]-(currency) where loc.name=<LOCATION> return currency.name,what do LOCATION call their money?,100,,
